Favourite Number,Frequency
983,1
987,1
1008,1
1009,1
1010,1
1020,1
1026,1
1031,1
1037,1
1043,1
1057,1
1061,1
1066,1
1088,1
1107,1
1113,1
1114,1
1120,1
1127,1
1128,1
1134,1
1142,1
1144,1
1154,1
1155,1
1165,1
1184,1
1208,1
1212,1
1219,1
1222,1
1225,1
1228,1
1231,1
1236,1
1238,1
1247,1
1259,1
1260,1
1280.3333,1
1289,1
1294,1
1296,1
1329,1
1332,1
1342,1
1357,1
1364,1
1369,1
1375,1
1397,1
1440,1
1441,1
1472,1
1479,1
1484,1
1523,1
1607,1
1618,1
1623,1
1632,1
1664,1
1692,1
1720,1
1728,1
1732,1
1740,1
1743,1
1750,1
1760,1
1776,1
1787,1
1789,1
1800,1
1804,1
1805,1
1821,1
1866,1
1874,1
1876,1
1882,1
1889,1
1944,1
1946,1
1950,1
1952,1
1960,1
1964,1
1969,1
1971,1
1973,1
1978,1
1979,1
1983,1
1984,1
1985,1
1987,1
1991,1
1994,1
1998,1
2002,1
2007,1
2018,1
2022,1
2043,1
2048,1
2114,1
2255,1
2309,1
2357,1
2400,1
2471,1
2501,1
2505,1
2510,1
2579,1
2592,1
2621,1
2648,1
2701,1
2710,1
2715,1
2718,1
2729,1
2769,1
2882,1
2884,1
2892,1
2896,1
2897,1
3013,1
3020,1
3067,1
3141,1
3155,1
3216,1
3253,1
3391,1
3489,1
3500,1
3578,1
3600,1
3641,1
3657,1
3721,1
3780,1
3826,1
4124,1
4125,1
4181,1
4205,1
4211,1
4224,1
4250,1
4253,1
4267,1
4324,1
4331,1
4370,1
4681,1
4711,1
4785,1
4927,1
5021,1
5073,1
5107,1
5155,1
5218,1
5255,1
5280,1
5283,1
5325,1
5364,1
5477,1
5555,1
5776,1
5777,1
5872,1
6022,1
6337,1
6453,1
6588,1
6729,1
6888,1
6942,1
6996,1
7121,1
7200,1
7254,1
7321,1
7501,1
7741,1
7744,1
7910,1
8008,1
8128,1
8553,1
8712,1
8722,1
8771,1
8858,1
8925,1
9146,1
9232,1
9288,1
9362,1
9436,1
9623,1
9675,1
9683,1
9742,1
9999,1
10000,1
10001,1
10468,1
10538,1
10886,1
12198,1
12336,1
12444,1
12851,1
13013,1
14394,1
14641,1
15151,1
15399,1
15880,1
16059,1
16061,1
16245,1
17686,1
18500,1
18912,1
20000,1
20736,1
21274,1
23717,1
24242,1
27412,1
30000,1
31415,1
32767,1
33153,1
34155,1
34234,1
35231,1
36777,1
41821,1
42239,1
42713,1
43770,1
44497,1
46435,1
49531,1
51150,1
52760,1
53001,1
54321,1
57005,1
57121,1
61454,1
62442,1
62480,1
65565,1
68000,1
69420,1
71553,1
73101,1
74201,1
74656,1
74711,1
80000,1
81018,1
81306,1
90125,1
105114,1
111111,1
113785,1
124857,1
132353,1
132674,1
137596,1
140404,1
149459,1
153689,1
181181,1
186000,1
186282,1
201102,1
251253,1
261970,1
262144,1
271441,1
280393,1
314159,1
314205,1
317537,1
322423,1
364541,1
391262,1
396587,1
472415,1
522307,1
531441,1
538008,1
550909,1
576898,1
621230,1
637298,1
639172,1
666666,1
750000,1
810721,1
812634,1
823543,1
863432,1
1000003,1
1000005,1
1000008,1
1000037,1
1000556,1
1003203,1
1024768,1
1428571,1
1500000,1
1578931,1
1736251,1
1999993,1
2000000,1
2005968.7,1
2100000,1
2716057,1
3000000,1
5138008,1
5271009,1
5271985,1
6000000,1
6031769,1
7072008,1
7873302,1
8080317,1
8370738,1
9000000,1
9899036,1
9941990,1
10000000,1
10000003,1
11235813,1
18118055,1
19309228,1
23456789,1
25446881.03,1
28000000,1
31415926,1
60466176,1
67108864,1
73939133,1
74384338,1
78552003,1
80000000,1
85000000,1
85417632,1
86000000,1
87539319,1
88888888,1
97280933,1
100000000,1
111111111,1
123581321,1
170123456,1
300000000,1
381654729,1
435342675,1
461208792,1
462917895,1
600000000,1
600342323,1
625999360,1
715358889,1
756209571,1
773047718,1
777111333,1
777703115,1
876651819,1
1000000007,1
1073741824,1
1123581321,1
1234567890,1
1742350698,1
1852000000,1
2147483648,1
4815162342,1
5033191440,1
6000000000,1
6179217664,1
6227020800,1
7789712078,1
9192631770,1
10101010101,1
50000000000,1
79191917999,1
99999999977,1
1.00E+11,1
1.09E+11,1
1.96E+11,1
1.00E+12,1
1.11E+12,1
1.89E+12,1
2.20E+12,1
5.12E+12,1
9.21E+12,1
1.00E+15,1
7.01E+15,1
1.00E+16,1
1.05E+17,1
2.63E+17,1
9.00E+17,1
1.19E+18,1
1.23E+18,1
1.12E+19,1
1.74E+19,1
1.60E+20,1
1.33E+21,1
2.95E+22,1
6.02E+23,1
6.02E+23,1
1.42E+27,1
1.23E+28,1
6.54E+29,1
1.23E+52,1
7.78E+53,1
8.08E+53,1
1.00E+64,1
1.00E+70,1
1.00E+70,1
